Task Key,Creation Time (s),Transfer Time (s),Compile Time (s),Execution Time (s),Device IP,Start Time (s),Completion Time (s),Given Time (s),Life Time (s)
string-sort_79,1743427302.4220347,0.11933755874633789,0.0004057884216308594,11.063247442245483,192.168.8.106,1743427543.3439887,1743427554.5269794,40,252.10494470596313
sieve-eratos_77,1743427301.4194605,0.0027332305908203125,0.0001456737518310547,2.526193380355835,192.168.8.140,1743427554.0000088,1743427556.529081,40,255.10962057113647
correlation_large_83,1743427304.4264941,0.09602212905883789,0.00030732154846191406,369.3753230571747,192.168.8.106,1743427555.5067577,1743427924.9784102,120,620.5519161224365
quick-sort_78,1743427301.9210064,0.0019068717956542969,0.00022792816162109375,18.138647079467773,192.168.8.140,1743427557.116687,1743427575.257469,120,273.3364624977112
durbin_large_57,1743427291.400331,0.1643052101135254,2.382389783859253,31.585429906845093,192.168.8.127,1743427571.6512148,1743427605.7833397,40,314.3830087184906
covariance_large_85,1743427305.4288526,0.0026607513427734375,0.00043773651123046875,51.01278066635132,192.168.8.140,1743427575.7109709,1743427626.72685,120,321.2979974746704
durbin_extralarge_58,1743427291.9011543,0.08563613891601562,2.0084409713745117,103.64903974533081,192.168.8.127,1743427606.2794864,1743427712.0226033,300,420.12144899368286
durbin_standard_86,1743427305.9299114,0.0013165473937988281,0.00039887428283691406,0.40305376052856445,192.168.8.140,1743427626.9207003,1743427627.3254695,40,321.3955581188202
gramschmidt_large_91,1743427308.4348335,0.001088857650756836,0.00016808509826660156,43.140557289123535,192.168.8.140,1743427627.4251592,1743427670.5669734,120,362.13213992118835
lu_extralarge_93,1743427309.4368289,0.2796003818511963,1.621338129043579,254.6986722946167,192.168.8.82,1743427630.933018,1743427887.5326288,300,578.0957999229431
fdtd-2d_94,1743427309.9380352,0.003009319305419922,0.0003712177276611328,1.539734125137329,192.168.8.140,1743427671.4159708,1743427672.9590855,40,363.02105021476746
adi_95,1743427310.4390821,0.0030984878540039062,0.00017142295837402344,3.466904640197754,192.168.8.140,1743427673.9273121,1743427677.3974867,40,366.9584045410156
seidel-2d_96,1743427310.940257,0.0035660266876220703,0.00019931793212890625,15.031405448913574,192.168.8.140,1743427677.438877,1743427692.474048,40,381.5337908267975
floyd_103,1743427314.4465692,0.0006444454193115234,0.0001499652862548828,2.5375638008117676,192.168.8.140,1743427692.9694912,1743427695.5078495,40,381.0612802505493
PCA_105,1743427315.4492207,0.005342721939086914,0.0002582073211669922,29.140130758285522,192.168.8.140,1743427696.478492,1743427725.6242237,160,410.1750030517578
hash_80,1743427302.9231207,0.10341405868530273,0.0003142356872558594,24.924169063568115,192.168.8.127,1743427713.0228088,1743427738.0507061,40,435.1275854110718
sieve-eratos_107,1743427316.4516056,0.0024335384368896484,0.0002810955047607422,2.4660725593566895,192.168.8.140,1743427725.6636183,1743427728.1324055,40,411.6807999610901
quick-sort_108,1743427316.953098,0.0012581348419189453,0.00016808509826660156,17.570043087005615,192.168.8.140,1743427728.1737301,1743427745.7451994,120,428.79210138320923
TSP_81,1743427303.4236574,0.09565186500549316,0.0002846717834472656,41.53263211250305,192.168.8.127,1743427738.6984007,1743427780.3269694,120,476.90331196784973
string-sort_109,1743427317.454263,0.005224466323852539,0.045812368392944336,4.46639347076416,192.168.8.140,1743427746.317628,1743427750.8350582,40,433.3807952404022
correlation_large_113,1743427319.458387,0.004531383514404297,0.05356478691101074,50.4813666343689,192.168.8.140,1743427750.878652,1743427801.418115,120,481.9597280025482
durbin_large_87,1743427306.4304044,0.10027050971984863,0.00023293495178222656,30.285309314727783,192.168.8.127,1743427780.4986136,1743427810.8844264,40,504.4540219306946
covariance_large_115,1743427320.460128,0.007417917251586914,0.0002410411834716797,55.6548535823822,192.168.8.140,1743427802.1474664,1743427857.809979,120,537.3498508930206
durbin_extralarge_88,1743427306.9316103,0.0654611587524414,0.00029206275939941406,103.57736396789551,192.168.8.127,1743427811.6753361,1743427915.3184533,300,608.3868429660797
durbin_standard_116,1743427320.9612567,0.0028197765350341797,0.000301361083984375,0.39569759368896484,192.168.8.140,1743427858.339322,1743427858.7381408,40,537.7768840789795
gramschmidt_large_121,1743427323.467051,0.002705812454223633,0.00021982192993164062,42.00617814064026,192.168.8.140,1743427858.845348,1743427900.8544517,120,577.3874006271362
lu_extralarge_123,1743427324.4691415,0.11493992805480957,0.00033974647521972656,254.7599744796753,192.168.8.82,1743427888.4016843,1743428143.2769384,300,818.8077969551086
fdtd-2d_124,1743427324.9704914,0.0017771720886230469,0.00014472007751464844,1.5243492126464844,192.168.8.140,1743427901.0482197,1743427902.5744908,40,577.603999376297
adi_125,1743427325.4712713,0.001125335693359375,0.00016069412231445312,3.495307445526123,192.168.8.140,1743427903.554351,1743427907.0509446,40,581.5796732902527
seidel-2d_126,1743427325.972872,0.0019071102142333984,0.0001881122589111328,15.009955167770386,192.168.8.140,1743427907.0627384,1743427922.0747888,40,596.1019167900085
hash_110,1743427317.9553056,0.1010274887084961,0.00015854835510253906,24.56386947631836,192.168.8.127,1743427915.5820332,1743427940.2470887,40,622.2917830944061
TSP_111,1743427318.4564116,0.14971208572387695,0.0002434253692626953,41.35109210014343,192.168.8.127,1743427941.231814,1743427982.7328615,120,664.276449918747
durbin_large_117,1743427321.462343,0.13049554824829102,0.00022077560424804688,30.40564751625061,192.168.8.127,1743427982.965042,1743428013.501406,40,692.0390629768372
durbin_extralarge_118,1743427321.9636903,0.1054697036743164,0.00042748451232910156,103.42813181877136,192.168.8.127,1743428013.6508162,1743428117.1848452,300,795.2211549282074
